Running.Test.Number,Test.Number.in.Iteration,Cost.Centric.Buffer,Cost.Centric.PDI,Conductance.Centric.Buffer,Conductance.Centric.PDI,DEM.error,Stochasticticity.error.for.time,Conductance.Value.Great.House,Conductance.Value.Great.Kiva,Conductance.Value.Earthen.Mound,Conductance.Value.Herradura
42,17,1.422253177,12637974.21,13.19722242,1897300.707,0.406669249,0.045618977,0.001712273,0.001369818,0.001095854,0.000876684
43,18,1.422253177,12637974.21,13.51123003,5812931.85,0.406669249,0.046508188,0.00285298,0.002282384,0.001825907,0.001460726
44,19,1.422253177,12637974.21,13.1972226,1875603.377,0.406669249,0.056781466,0.002342173,0.001873738,0.001498991,0.001199192
45,20,1.421857976,7408305.132,13.47414367,2799168.44,0.406669249,0.02974909,0.002547466,0.002037973,0.001630378,0.001304303
46,21,1.421857976,7408305.132,13.65254872,2350284.816,0.406669249,0.05384719,0.003804538,0.003043631,0.002434904,0.001947924
47,22,1.421857976,7408305.132,13.47414367,2799168.44,0.406669249,0.081102139,0.002643868,0.002115094,0.001692076,0.00135366
48,23,1.421857976,7408305.132,13.65254872,2350284.816,0.406669249,0.023894909,0.003572801,0.002858241,0.002286593,0.001829274
49,24,1.421857976,7408305.132,13.65254872,2350284.816,0.406669249,0.001096493,0.003816451,0.003053161,0.002442528,0.001954023
50,25,1.421857976,7408305.132,13.47414775,2315244.625,0.406669249,0.062388683,0.00342887,0.002743096,0.002194477,0.001755581
51,1,0.699838533,32130770.56,10.3808779,37839853.8,1.199596847,0.058567972,0.003320107,0.002656086,0.002124869,0.001699895
52,2,0.699838533,32130770.56,10.38253092,37728481.85,1.199596847,0.049631472,0.003587441,0.002869953,0.002295962,0.00183677
53,3,0.699838533,32130770.56,10.38253092,37728481.85,1.199596847,0.056490678,0.003523045,0.002818436,0.002254749,0.001803799
54,4,0.699838533,32130770.56,10.38253092,37728481.85,1.199596847,0.062921427,0.003895596,0.003116477,0.002493181,0.001994545
55,5,0.699838533,32130770.56,0.699811297,32488359.24,1.199596847,0.070211943,0.000470021,0.000376016,0.000300813,0.00024065
56,6,0.699838533,32130770.56,10.38253092,37728481.85,1.199596847,0.037000438,0.005340945,0.004272756,0.003418205,0.002734564
57,7,0.699838533,32130770.56,0.700524145,66072073.69,1.199596847,0.06806262,0.000792298,0.000633838,0.00050707,0.000405656
58,8,0.699838533,32130770.56,10.38253092,37728481.85,1.199596847,0.048128223,0.004266542,0.003413233,0.002730587,0.002184469
59,9,0.699838533,32130770.56,10.38253092,37728481.85,1.199596847,0.110548791,0.004798463,0.003838771,0.003071017,0.002456813
60,10,0.699838533,32130770.56,10.3808779,37839853.8,1.199596847,0.03733406,0.003308113,0.002646491,0.002117192,0.001693754
61,11,0.699838533,32130770.56,10.3808779,37839853.8,1.199596847,0.065467921,0.003034065,0.002427252,0.001941801,0.001553441
62,12,0.699838533,32130770.56,10.38087822,37889310.28,1.199596847,0.033454335,0.002081522,0.001665218,0.001332174,0.001065739
63,13,0.699838533,32130770.56,10.38087807,37865288.21,1.199596847,0.058963845,0.001487182,0.001189746,0.000951797,0.000761437
64,14,0.699838533,32130770.56,10.38087774,37815831.73,1.199596847,0.019608144,0.002432019,0.001945615,0.001556492,0.001245194
65,15,0.699838533,32130770.56,10.38087774,37815831.73,1.199596847,0.08606613,0.002593728,0.002074982,0.001659986,0.001327989
66,16,0.699838533,32136452.31,10.3821314,37812720.16,1.199596847,0.044647795,0.001891895,0.001513516,0.001210813,0.00096865
67,17,0.699838533,32136452.31,10.38213107,37763263.68,1.199596847,0.062323069,0.003172181,0.002537745,0.002030196,0.001624157
68,18,0.699838533,32136452.31,10.38213107,37763263.68,1.199596847,0.018159795,0.003384095,0.002707276,0.002165821,0.001732657
69,19,0.699838533,32136452.31,10.38213107,37763263.68,1.199596847,0.093696872,0.002652724,0.002122179,0.001697743,0.001358195
70,20,0.699838533,32136452.31,10.38213107,37763263.68,1.199596847,0.023347855,0.003265039,0.002612031,0.002089625,0.0016717
71,21,0.699838533,32136452.31,10.3821314,37812978.28,1.199596847,0.065813012,0.001143861,0.000915089,0.000732071,0.000585657
72,22,0.699838533,32136452.31,10.3837845,37651891.73,1.199596847,0.113435409,0.003897764,0.003118211,0.002494569,0.001995655
73,23,0.699838533,32136452.31,10.38213107,37763263.68,1.199596847,0.035997163,0.0030935,0.0024748,0.00197984,0.001583872
74,24,0.714667199,43458666.07,10.37465401,37281280.51,1.199596847,0.09630261,0.001711447,0.001369158,0.001095326,0.000876261
